"","X","GEOID2","Display","Population","AvgAge","AvgIncome","AvgEducation","ProportionEmployed","TotalICD9Estimate","TotalLower","TotalUpper","ChronicICD9Estimate","ChronicLower","ChronicUpper"
"1",1,"300630001001","Block Group 1, Census Tract 1, Missoula County, Montana",2672,42.6775823353293,42080.7272495824,5.04765545361876,0.585944494180841,2.91142371364386,2.77356148869612,3.0492859385916,0.240304414016503,0.217547861699721,0.263060966333284
"2",2,"300630001002","Block Group 2, Census Tract 1, Missoula County, Montana",1259,45.6799046862589,59357.6054103089,4.8052016985138,0.562557924003707,2.40904270109182,2.20820446942593,2.6098809327577,0.197176982016134,0.164025147074787,0.230328816957481
"3",3,"300630001003","Block Group 3, Census Tract 1, Missoula County, Montana",1180,37.4313559322034,56630.9427021302,4.45419847328244,0.787878787878788,1.46612748556126,1.25868172427485,1.67357324684767,0.0869031863864693,0.0526606640320095,0.121145708740929
"4",4,"300630001004","Block Group 4, Census Tract 1, Missoula County, Montana",1015,36.8773399014778,35960.48298573,5.25428082191781,0.646420824295011,5.95396567472246,5.73028333866803,6.17764801077689,0.527689136923144,0.490766486177504,0.564611787668785
"5",5,"300630002011","Block Group 1, Census Tract 2.01, Missoula County, Montana",1816,36.0790198237885,29533.6535901977,4.42895204262877,0.502289077828646,3.06027339655077,2.89305081906935,3.22749597403219,0.286140346680702,0.258537358737881,0.313743334623522
"6",6,"300630002012","Block Group 2, Census Tract 2.01, Missoula County, Montana",1607,30.9853764779091,24199.6320147194,4.48145695364238,0.746944644140906,1.77219349468329,1.59442872472093,1.94995826464565,0.146748204032474,0.117405044299904,0.176091363765043
"7",7,"300630002013","Block Group 3, Census Tract 2.01, Missoula County, Montana",1278,33.976917057903,26813.5608975682,4.51650366748166,0.804114490161002,2.44245900393766,2.24312241776651,2.64179559010881,0.182043572960834,0.149139610663897,0.214947535257771
"8",8,"300630002014","Block Group 4, Census Tract 2.01, Missoula County, Montana",1714,31.2689614935823,22708.1887578071,4.51742160278746,0.761394101876676,2.36796740444549,2.19583996726797,2.540094841623,0.176557920980254,0.148145300838889,0.204970541121618
"9",9,"300630002015","Block Group 5, Census Tract 2.01, Missoula County, Montana",1816,34.563050660793,23703.3898305085,4.49059982094897,0.756594724220623,1.52831945592947,1.36110044346455,1.6955384683944,0.107850170720935,0.0802477712459447,0.135452570195926
"10",10,"300630002021","Block Group 1, Census Tract 2.02, Missoula County, Montana",5408,38.1887943786982,35429.273827534,4.73307964120685,0.67741935483871,0.810782226778302,0.713880063845939,0.907684389710665,0.050184974993151,0.0341895916224311,0.0661803583638709
"11",11,"300630002022","Block Group 2, Census Tract 2.02, Missoula County, Montana",1115,40.7820627802691,43845.8006150089,5.59605263157895,0.563975155279503,2.50365682227058,2.29023956419701,2.71707408034415,0.21241980520331,0.177191583690883,0.247648026715738
"12",12,"300630002023","Block Group 3, Census Tract 2.02, Missoula County, Montana",4465,35.6939529675252,48803.6157245982,4.54467782128871,0.716856628674265,8.01052397638548,7.87740780779002,8.14364014498093,0.589739868471558,0.572136138496096,0.60734359844702
"13",13,"300630002024","Block Group 4, Census Tract 2.02, Missoula County, Montana",1407,32.7164179104478,51891.05244514,4.50226500566251,0.756906077348066,1.49252086192207,1.30254570393481,1.68249601990933,0.103766480110195,0.0724077839679806,0.13512517625241
"14",14,"300630003001","Block Group 1, Census Tract 3, Missoula County, Montana",910,32.906043956044,22228.9023004571,5.93431855500821,0.60989010989011,1.43849017796016,1.20226357713553,1.67471677878479,0.101905105341821,0.0629118060365277,0.140898404647115
"15",15,"300630003002","Block Group 2, Census Tract 3, Missoula County, Montana",1019,44.1957801766438,21139.2024605579,4.31371191135734,0.532719836400818,1.56032438987122,1.33709805879402,1.78355072094842,0.104036580194091,0.0671892009822219,0.14088395940596
"16",16,"300630004001","Block Group 1, Census Tract 4, Missoula County, Montana",1276,36.3134796238244,25981.5354713314,4.69416243654822,0.677835051546392,1.50530506847551,1.3058180802722,1.70479205667881,0.093519184455639,0.0605903956936237,0.126447973217654
"17",17,"300630004002","Block Group 2, Census Tract 4, Missoula County, Montana",869,38.8705408515535,32572.4534692139,4.85871271585557,0.627142857142857,1.88640608298881,1.64466010588156,2.12815206009606,0.10824845903449,0.0683440909053831,0.148152827163597
"18",18,"300630004003","Block Group 3, Census Tract 4, Missoula County, Montana",739,44.8917456021651,65681.5668057877,5.08145580589255,0.467791411042945,6.45072021350615,6.18857651639574,6.71286391061657,0.401090118262063,0.357818752519426,0.444361484004701
"19",19,"300630005001","Block Group 1, Census Tract 5, Missoula County, Montana",1331,34.5668670172802,31210.2974470224,4.20698051948052,0.628850488354621,5.25275804345201,5.05743400450295,5.44808208240107,0.367990727194878,0.335749105439867,0.400232348949888
"20",20,"300630005002","Block Group 2, Census Tract 5, Missoula County, Montana",2511,25.2409398645958,31234.086159934,3.99465811965812,0.355546357615894,1.90257153405122,1.76035938458913,2.04478368351332,0.151007123178427,0.127532540343697,0.174481706013157
"21",21,"300630005003","Block Group 3, Census Tract 5, Missoula County, Montana",1065,35.393896713615,42461.6652963139,5.23790322580645,0.690420560747664,1.79767331632414,1.5793090135691,2.01603761907918,0.135344147402421,0.0992993303276482,0.171388964477193
"22",22,"300630005004","Block Group 4, Census Tract 5, Missoula County, Montana",1926,31.506230529595,27837.1653824148,4.05394190871369,0.692751763951251,2.17095087951822,2.00857260164159,2.33332915739486,0.175763236671973,0.14895988443383,0.202566588910116
"23",23,"300630007001","Block Group 1, Census Tract 7, Missoula County, Montana",697,37.2417503586801,33647.6336141251,4.29431072210066,0.566129032258065,2.81109004044972,2.54116492243564,3.0810151584638,0.220376535982355,0.17582071170178,0.26493236026293
"24",24,"300630007002","Block Group 2, Census Tract 7, Missoula County, Montana",798,36.9467418546366,42277.583162679,4.97854785478548,0.722222222222222,1.49786404486187,1.24561005309578,1.75011803662795,0.0953179808085739,0.0536790825322864,0.136956879084861
"25",25,"300630007003","Block Group 3, Census Tract 7, Missoula County, Montana",1125,33.5755555555556,39048.1857499747,5.18958031837916,0.77114967462039,1.46861768399853,1.2561611717915,1.68107419620555,0.0860573378401175,0.0509877041031548,0.12112697157708
"26",26,"300630008001","Block Group 1, Census Tract 8, Missoula County, Montana",1721,34.938988959907,24145.1149425287,4.45092838196287,0.644295302013423,1.88029949888421,1.70851678229403,2.05208221547439,0.107217227762931,0.078861509735857,0.135572945790005
"27",27,"300630008002","Block Group 2, Census Tract 8, Missoula County, Montana",1197,38.2928153717627,35727.6466281231,4.94266813671444,0.742594484167518,1.84530319207387,1.63932200151318,2.05128438263457,0.101307330289366,0.067306560745394,0.135308099833338
"28",28,"300630008003","Block Group 3, Census Tract 8, Missoula County, Montana",1600,38.6296875,22634.8228043143,4.91112956810631,0.538179148311307,5.54353314621618,5.3653819032569,5.72168438917546,0.482702419956219,0.453295466149698,0.51210937376274
"29",29,"300630008004","Block Group 4, Census Tract 8, Missoula County, Montana",1485,35.889898989899,23525.8548790659,4.8955223880597,0.722967640094712,3.7942729437602,3.60934705185165,3.97919883566875,0.295265836378353,0.264740609213773,0.325791063542933
"30",30,"300630009011","Block Group 1, Census Tract 9.01, Missoula County, Montana",1131,35.4951370468612,31951.9343493552,4.96423248882265,0.837140019860973,2.59704311814121,2.38514030646862,2.8089459298138,0.224409950154914,0.189431714298586,0.259388186011243
"31",31,"300630009012","Block Group 2, Census Tract 9.01, Missoula County, Montana",1425,46.9926315789474,45642.7151771913,5.00308641975309,0.580803937653815,1.82490716318561,1.63612771711709,2.01368660925414,0.157943510553275,0.126782187410407,0.189104833696142
"32",32,"300630009013","Block Group 3, Census Tract 9.01, Missoula County, Montana",1616,36.6936881188119,34621.530059493,4.83960396039604,0.525764192139738,3.37262698268014,3.19535319469984,3.54990077066043,0.275613293867667,0.246351179230415,0.30487540850492
"33",33,"300630009014","Block Group 4, Census Tract 9.01, Missoula County, Montana",1298,50.5843605546995,28688.679245283,4.7627358490566,0.408884859474161,1.79867611521369,1.60088644838302,1.99646578204436,0.155540799516847,0.122892183098122,0.188189415935572
