ICD9 Codes,Patients,Average Age,Average Income,Chronic Patients,Average CP Age
0,8365,26.88129109,23538.9243,0,0
1,6949,26.6530436,26769.80435,5350,39.87439252
2,5372,28.50949367,28669.09337,1292,48.20897833
3,3880,32.50850515,28216.81185,378,56.13756614
4,2874,36.92588727,26269.39372,90,60.33333333
5,2059,40.10150559,24340.7967,37,59.10810811
6,1650,45.19575758,24183.76073,7,63.71428571
7,1186,48.58347386,21607.43726,2,65.5
8,956,49.96129707,21757.55582,0,0
9,762,53.55249344,18698.18508,0,0
10,586,56.86177474,17648.75818,0,0
11,489,56.72392638,14831.41087,0,0
12,368,58.98641304,13462.02801,0,0
13,302,59.33443709,12693.26573,0,0
14,221,62.5158371,11771.27982,0,0
15,179,60.29608939,9490.751445,0,0
16,158,58.58860759,9951.051948,0,0
17,125,60.112,9538.688525,0,0
18,97,59.36082474,7230.84375,0,0
19,68,62.67647059,10314.95522,0,0
20,72,60.125,6305.434783,0,0
21,44,62.40909091,12635.61905,0,0
22,37,63.59459459,4648.648649,0,0
23,24,61.45833333,9661.833333,0,0
24,32,64.78125,3818.0625,0,0
25,12,66.41666667,2645.833333,0,0
26,14,58.35714286,19060.5,0,0
27,13,64.84615385,5923.076923,0,0
28,11,58.54545455,16429,0,0
29,5,66.8,8461.2,0,0
30,3,72.33333333,0,0,0
31,7,65.71428571,0,0,0
32,3,51.66666667,0,0,0
33,4,57.75,0,0,0
34,3,69.66666667,0,0,0
35,2,53.5,7500,0,0
36,4,56,0,0,0
37,1,39,0,0,0
38,0,0,0,0,0
39,1,47,0,0,0
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,1,67,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
47,0,0,0,0,0
48,0,0,0,0,0
49,1,56,30000,0,0
