GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1500000US300630001001,300630001001,"Block Group 1, Census Tract 1, Missoula County, Montana",1163,141,634,146,557,142,77,52,0,10,77,52,529,158,458,152,71,56
1500000US300630001002,300630001002,"Block Group 2, Census Tract 1, Missoula County, Montana",570,101,337,84,260,72,77,44,36,42,41,40,233,113,154,81,79,81
1500000US300630001003,300630001003,"Block Group 3, Census Tract 1, Missoula County, Montana",446,77,307,79,307,79,0,10,0,10,0,10,139,82,121,76,18,30
1500000US300630001004,300630001004,"Block Group 4, Census Tract 1, Missoula County, Montana",476,131,181,64,150,61,31,34,13,20,18,26,295,140,222,136,73,63
1500000US300630002011,300630002011,"Block Group 1, Census Tract 2.01, Missoula County, Montana",920,167,387,149,111,68,276,141,30,35,246,139,533,131,459,139,74,78
1500000US300630002012,300630002012,"Block Group 2, Census Tract 2.01, Missoula County, Montana",680,162,333,123,204,97,129,91,73,69,56,61,347,148,243,120,104,99
1500000US300630002013,300630002013,"Block Group 3, Census Tract 2.01, Missoula County, Montana",673,169,225,113,149,84,76,85,10,19,66,80,448,177,345,166,103,67
1500000US300630002014,300630002014,"Block Group 4, Census Tract 2.01, Missoula County, Montana",897,222,256,132,174,109,82,79,0,10,82,79,641,227,361,149,280,203
1500000US300630002015,300630002015,"Block Group 5, Census Tract 2.01, Missoula County, Montana",786,179,182,90,151,83,31,35,14,25,17,26,604,195,328,131,276,154
1500000US300630002021,300630002021,"Block Group 1, Census Tract 2.02, Missoula County, Montana",2326,276,1225,278,956,278,269,142,133,111,136,90,1101,222,902,211,199,120
1500000US300630002022,300630002022,"Block Group 2, Census Tract 2.02, Missoula County, Montana",360,109,244,107,244,107,0,10,0,10,0,10,116,63,86,51,30,47
1500000US300630002023,300630002023,"Block Group 3, Census Tract 2.02, Missoula County, Montana",1704,256,1308,263,925,256,383,196,85,95,298,170,396,166,299,133,97,115
1500000US300630002024,300630002024,"Block Group 4, Census Tract 2.02, Missoula County, Montana",480,139,329,119,307,117,22,36,0,10,22,36,151,109,135,116,16,27
1500000US300630003001,300630003001,"Block Group 1, Census Tract 3, Missoula County, Montana",597,126,16,20,8,13,8,15,0,10,8,15,581,123,396,98,185,104
1500000US300630003002,300630003002,"Block Group 2, Census Tract 3, Missoula County, Montana",657,112,157,84,42,30,115,82,63,59,52,51,500,100,425,99,75,46
1500000US300630004001,300630004001,"Block Group 1, Census Tract 4, Missoula County, Montana",540,84,256,83,106,55,150,78,78,61,72,49,284,102,180,91,104,79
1500000US300630004002,300630004002,"Block Group 2, Census Tract 4, Missoula County, Montana",306,67,247,61,196,59,51,30,21,23,30,21,59,33,28,23,31,23
1500000US300630004003,300630004003,"Block Group 3, Census Tract 4, Missoula County, Montana",296,73,169,68,159,65,10,17,3,9,7,11,127,58,80,42,47,45
1500000US300630005001,300630005001,"Block Group 1, Census Tract 5, Missoula County, Montana",676,140,149,73,149,73,0,10,0,10,0,10,527,140,363,124,164,83
1500000US300630005002,300630005002,"Block Group 2, Census Tract 5, Missoula County, Montana",233,84,183,67,171,72,12,19,12,19,0,10,50,61,50,61,0,10
1500000US300630005003,300630005003,"Block Group 3, Census Tract 5, Missoula County, Montana",483,128,277,114,226,107,51,56,0,10,51,56,206,93,141,84,65,48
1500000US300630005004,300630005004,"Block Group 4, Census Tract 5, Missoula County, Montana",862,173,308,108,206,97,102,68,11,18,91,62,554,165,358,149,196,92
1500000US300630007001,300630007001,"Block Group 1, Census Tract 7, Missoula County, Montana",355,92,131,64,76,46,55,49,7,11,48,48,224,75,190,75,34,27
1500000US300630007002,300630007002,"Block Group 2, Census Tract 7, Missoula County, Montana",443,94,135,57,90,50,45,37,8,12,37,34,308,91,248,95,60,31
1500000US300630007003,300630007003,"Block Group 3, Census Tract 7, Missoula County, Montana",529,95,195,81,132,70,63,52,0,10,63,52,334,98,248,96,86,59
1500000US300630008001,300630008001,"Block Group 1, Census Tract 8, Missoula County, Montana",865,168,326,108,221,104,105,61,52,45,53,54,539,166,435,159,104,57
1500000US300630008002,300630008002,"Block Group 2, Census Tract 8, Missoula County, Montana",519,98,386,99,268,95,118,98,66,71,52,64,133,75,93,57,40,48
1500000US300630008003,300630008003,"Block Group 3, Census Tract 8, Missoula County, Montana",758,160,377,117,209,92,168,112,10,18,158,112,381,139,193,117,188,85
1500000US300630008004,300630008004,"Block Group 4, Census Tract 8, Missoula County, Montana",716,123,308,86,189,75,119,67,15,25,104,65,408,124,294,102,114,94
1500000US300630009011,300630009011,"Block Group 1, Census Tract 9.01, Missoula County, Montana",387,118,165,98,102,58,63,80,46,76,17,27,222,117,122,88,100,85
1500000US300630009012,300630009012,"Block Group 2, Census Tract 9.01, Missoula County, Montana",529,91,412,102,369,101,43,44,0,10,43,44,117,65,75,55,42,41
1500000US300630009013,300630009013,"Block Group 3, Census Tract 9.01, Missoula County, Montana",593,116,386,97,327,100,59,54,0,10,59,54,207,108,158,99,49,46
1500000US300630009014,300630009014,"Block Group 4, Census Tract 9.01, Missoula County, Montana",492,120,318,117,275,112,43,65,0,10,43,65,174,67,157,69,17,27
1500000US300630009015,300630009015,"Block Group 5, Census Tract 9.01, Missoula County, Montana",353,109,265,114,177,110,88,87,26,40,62,77,88,63,42,40,46,44
1500000US300630009021,300630009021,"Block Group 1, Census Tract 9.02, Missoula County, Montana",971,59,722,77,610,58,112,68,74,68,38,19,249,55,190,54,59,33
1500000US300630010001,300630010001,"Block Group 1, Census Tract 10, Missoula County, Montana",774,137,298,108,206,100,92,73,0,10,92,73,476,146,311,117,165,109
1500000US300630010002,300630010002,"Block Group 2, Census Tract 10, Missoula County, Montana",513,140,331,145,204,105,127,102,55,63,72,82,182,91,107,66,75,58
1500000US300630010003,300630010003,"Block Group 3, Census Tract 10, Missoula County, Montana",647,149,233,104,133,77,100,68,74,58,26,31,414,144,210,102,204,138
1500000US300630010004,300630010004,"Block Group 4, Census Tract 10, Missoula County, Montana",513,127,222,102,147,99,75,59,11,18,64,61,291,96,261,93,30,35
1500000US300630011001,300630011001,"Block Group 1, Census Tract 11, Missoula County, Montana",455,77,203,55,185,53,18,20,8,14,10,14,252,72,195,69,57,33
1500000US300630011002,300630011002,"Block Group 2, Census Tract 11, Missoula County, Montana",580,92,228,63,144,49,84,55,14,18,70,51,352,89,200,67,152,73
1500000US300630011003,300630011003,"Block Group 3, Census Tract 11, Missoula County, Montana",570,86,215,77,146,58,69,55,12,18,57,51,355,101,214,87,141,84
1500000US300630012001,300630012001,"Block Group 1, Census Tract 12, Missoula County, Montana",293,64,165,60,100,46,65,42,0,10,65,42,128,75,113,73,15,23
1500000US300630012002,300630012002,"Block Group 2, Census Tract 12, Missoula County, Montana",473,107,117,67,97,66,20,28,20,28,0,10,356,106,263,96,93,68
1500000US300630012003,300630012003,"Block Group 3, Census Tract 12, Missoula County, Montana",420,92,274,78,208,72,66,57,0,10,66,57,146,74,115,66,31,46
1500000US300630012004,300630012004,"Block Group 4, Census Tract 12, Missoula County, Montana",1013,142,536,153,219,91,317,132,113,74,204,135,477,154,215,103,262,129
1500000US300630013021,300630013021,"Block Group 1, Census Tract 13.02, Missoula County, Montana",958,132,501,118,442,99,59,56,0,10,59,56,457,142,320,131,137,115
1500000US300630013022,300630013022,"Block Group 2, Census Tract 13.02, Missoula County, Montana",520,103,303,84,273,91,30,34,0,10,30,34,217,84,174,85,43,37
1500000US300630013023,300630013023,"Block Group 3, Census Tract 13.02, Missoula County, Montana",352,76,335,78,298,80,37,40,0,10,37,40,17,28,17,28,0,10
