GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - 2-person household,Margin of Error; Family households: - 2-person household,Estimate; Family households: - 3-person household,Margin of Error; Family households: - 3-person household,Estimate; Family households: - 4-person household,Margin of Error; Family households: - 4-person household,Estimate; Family households: - 5-person household,Margin of Error; Family households: - 5-person household,Estimate; Family households: - 6-person household,Margin of Error; Family households: - 6-person household,Estimate; Family households: - 7-or-more person household,Margin of Error; Family households: - 7-or-more person household,Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - 1-person household,Margin of Error; Nonfamily households: - 1-person household,Estimate; Nonfamily households: - 2-person household,Margin of Error; Nonfamily households: - 2-person household,Estimate; Nonfamily households: - 3-person household,Margin of Error; Nonfamily households: - 3-person household,Estimate; Nonfamily households: - 4-person household,Margin of Error; Nonfamily households: - 4-person household,Estimate; Nonfamily households: - 5-person household,Margin of Error; Nonfamily households: - 5-person household,Estimate; Nonfamily households: - 6-person household,Margin of Error; Nonfamily households: - 6-person household,Estimate; Nonfamily households: - 7-or-more person household,Margin of Error; Nonfamily households: - 7-or-more person household
1500000US300630001001,300630001001,"Block Group 1, Census Tract 1, Missoula County, Montana",1163,141,634,146,356,133,88,55,123,64,44,38,0,10,23,26,529,158,458,152,71,56,0,10,0,10,0,10,0,10,0,10
1500000US300630001002,300630001002,"Block Group 2, Census Tract 1, Missoula County, Montana",570,101,337,84,214,79,27,30,83,52,13,21,0,10,0,10,233,113,154,81,79,81,0,10,0,10,0,10,0,10,0,10
1500000US300630001003,300630001003,"Block Group 3, Census Tract 1, Missoula County, Montana",446,77,307,79,89,61,68,51,150,66,0,10,0,10,0,10,139,82,121,76,18,30,0,10,0,10,0,10,0,10,0,10
1500000US300630001004,300630001004,"Block Group 4, Census Tract 1, Missoula County, Montana",476,131,181,64,91,55,52,42,38,33,0,10,0,10,0,10,295,140,222,136,28,34,0,10,45,66,0,10,0,10,0,10
1500000US300630002011,300630002011,"Block Group 1, Census Tract 2.01, Missoula County, Montana",920,167,387,149,238,104,80,86,0,10,69,97,0,10,0,10,533,131,459,139,74,78,0,10,0,10,0,10,0,10,0,10
1500000US300630002012,300630002012,"Block Group 2, Census Tract 2.01, Missoula County, Montana",680,162,333,123,121,74,193,107,10,19,0,10,0,10,9,17,347,148,243,120,33,54,26,45,45,69,0,10,0,10,0,10
1500000US300630002013,300630002013,"Block Group 3, Census Tract 2.01, Missoula County, Montana",673,169,225,113,155,81,48,75,0,10,0,10,22,29,0,10,448,177,345,166,57,57,46,37,0,10,0,10,0,10,0,10
1500000US300630002014,300630002014,"Block Group 4, Census Tract 2.01, Missoula County, Montana",897,222,256,132,147,100,37,42,23,31,0,10,49,70,0,10,641,227,361,149,280,203,0,10,0,10,0,10,0,10,0,10
1500000US300630002015,300630002015,"Block Group 5, Census Tract 2.01, Missoula County, Montana",786,179,182,90,62,62,64,49,56,44,0,10,0,10,0,10,604,195,328,131,197,124,79,101,0,10,0,10,0,10,0,10
1500000US300630002021,300630002021,"Block Group 1, Census Tract 2.02, Missoula County, Montana",2326,276,1225,278,471,177,317,154,239,128,100,65,98,110,0,14,1101,222,902,211,173,116,26,42,0,14,0,14,0,14,0,14
1500000US300630002022,300630002022,"Block Group 2, Census Tract 2.02, Missoula County, Montana",360,109,244,107,99,54,73,66,0,10,0,10,0,10,72,97,116,63,86,51,30,47,0,10,0,10,0,10,0,10,0,10
1500000US300630002023,300630002023,"Block Group 3, Census Tract 2.02, Missoula County, Montana",1704,256,1308,263,592,214,306,167,290,201,111,91,0,10,9,12,396,166,299,133,95,115,2,4,0,10,0,10,0,10,0,10
1500000US300630002024,300630002024,"Block Group 4, Census Tract 2.02, Missoula County, Montana",480,139,329,119,135,74,0,10,71,81,45,58,78,87,0,10,151,109,135,116,16,27,0,10,0,10,0,10,0,10,0,10
