GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1500000US300630001001,300630001001,"Block Group 1, Census Tract 1, Missoula County, Montana",1962,276,35,46,0,10,0,10,16,25,0,10,0,10,0,10,0,10,3,6,14,24,2,6,0,10,3,6,2,6,43,57,316,141,32,33,17,28,292,143,77,88,633,154,261,116,108,81,108,70
1500000US300630001002,300630001002,"Block Group 2, Census Tract 1, Missoula County, Montana",942,168,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,127,89,0,10,16,26,148,85,31,34,295,115,190,91,88,62,47,54
1500000US300630001003,300630001003,"Block Group 3, Census Tract 1, Missoula County, Montana",786,148,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,1,2,0,10,0,10,36,36,23,36,26,30,108,81,14,22,260,110,240,105,49,61,29,32
1500000US300630001004,300630001004,"Block Group 4, Census Tract 1, Missoula County, Montana",584,165,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,45,43,0,10,0,10,72,47,45,43,138,89,144,74,34,38,106,93
1500000US300630002011,300630002011,"Block Group 1, Census Tract 2.01, Missoula County, Montana",1126,247,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,5,8,0,10,4,9,5,10,28,44,73,95,5,10,234,103,59,73,90,61,277,141,74,64,167,97,36,44,25,40,44,55
1500000US300630002012,300630002012,"Block Group 2, Census Tract 2.01, Missoula County, Montana",755,195,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,13,21,23,44,0,10,0,10,14,20,148,100,15,24,87,100,111,90,101,77,163,100,43,35,37,43,0,10
1500000US300630002013,300630002013,"Block Group 3, Census Tract 2.01, Missoula County, Montana",818,199,14,21,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,15,24,0,10,0,10,43,52,81,79,8,16,128,117,154,103,63,52,172,106,73,58,16,27,51,58
1500000US300630002014,300630002014,"Block Group 4, Census Tract 2.01, Missoula County, Montana",861,218,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,50,80,23,29,14,22,133,92,54,50,42,40,237,124,17,27,150,84,89,67,0,10,52,56
1500000US300630002015,300630002015,"Block Group 5, Census Tract 2.01, Missoula County, Montana",1117,275,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,18,37,4,8,0,10,57,75,8,17,268,134,110,74,86,84,193,108,50,45,260,116,63,64,0,10,0,10
