GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US300630001001,300630001001,"Block Group 1, Census Tract 1, Missoula County, Montana",1163,141,103,70,113,96,66,52,46,43,16,25,31,36,77,83,32,37,41,36,53,50,107,56,195,102,160,108,0,10,58,45,65,47
1500000US300630001002,300630001002,"Block Group 2, Census Tract 1, Missoula County, Montana",570,101,0,10,0,10,48,44,27,30,0,10,48,74,64,52,15,25,0,10,16,25,30,36,112,62,46,43,31,34,67,56,66,46
1500000US300630001003,300630001003,"Block Group 3, Census Tract 1, Missoula County, Montana",446,77,29,32,0,10,0,10,0,10,80,81,0,10,12,18,14,22,0,10,32,38,16,26,84,51,77,51,0,10,41,38,61,52
1500000US300630001004,300630001004,"Block Group 4, Census Tract 1, Missoula County, Montana",476,131,20,34,67,81,0,10,0,10,17,27,21,34,10,17,47,46,0,10,13,20,72,74,146,93,10,18,12,19,41,38,0,10
1500000US300630002011,300630002011,"Block Group 1, Census Tract 2.01, Missoula County, Montana",920,167,158,100,163,110,54,53,130,68,51,59,67,65,32,41,30,35,43,69,0,10,41,49,49,48,69,97,0,10,0,10,33,51
1500000US300630002012,300630002012,"Block Group 2, Census Tract 2.01, Missoula County, Montana",680,162,72,72,0,10,92,73,110,101,10,19,102,92,49,59,14,20,74,75,58,56,24,27,37,56,38,44,0,10,0,10,0,10
1500000US300630002013,300630002013,"Block Group 3, Census Tract 2.01, Missoula County, Montana",673,169,154,150,92,82,27,46,17,27,64,61,33,39,70,56,16,25,57,51,0,10,58,44,0,10,13,22,28,37,34,39,10,19
1500000US300630002014,300630002014,"Block Group 4, Census Tract 2.01, Missoula County, Montana",897,222,100,104,41,40,48,63,197,120,57,92,56,50,10,19,191,179,9,15,60,52,86,68,15,24,0,10,27,44,0,10,0,10
1500000US300630002015,300630002015,"Block Group 5, Census Tract 2.01, Missoula County, Montana",786,179,22,37,210,123,90,68,15,22,11,17,14,25,32,50,16,26,29,46,137,116,133,95,25,24,0,10,40,59,12,18,0,10
