GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In labor force:,Margin of Error; In labor force:,Estimate; In labor force: - Civilian labor force:,Margin of Error; In labor force: - Civilian labor force:,Estimate; In labor force: - Civilian labor force: - Employed,Margin of Error; In labor force: - Civilian labor force: - Employed,Estimate; In labor force: - Civilian labor force: - Unemployed,Margin of Error; In labor force: - Civilian labor force: - Unemployed,Estimate; In labor force: - Armed Forces,Margin of Error; In labor force: - Armed Forces,Estimate; Not in labor force,Margin of Error; Not in labor force
1500000US300630001001,300630001001,"Block Group 1, Census Tract 1, Missoula County, Montana",2234,319,1442,275,1442,275,1309,268,133,95,0,10,792,191
1500000US300630001002,300630001002,"Block Group 2, Census Tract 1, Missoula County, Montana",1079,201,662,181,662,181,607,137,55,84,0,10,417,132
1500000US300630001003,300630001003,"Block Group 3, Census Tract 1, Missoula County, Montana",891,164,702,163,702,163,702,163,0,10,0,10,189,90
1500000US300630001004,300630001004,"Block Group 4, Census Tract 1, Missoula County, Montana",922,324,713,329,713,329,596,206,117,156,0,10,209,116
1500000US300630002011,300630002011,"Block Group 1, Census Tract 2.01, Missoula County, Montana",1529,351,888,311,888,311,768,258,120,105,0,10,641,192
1500000US300630002012,300630002012,"Block Group 2, Census Tract 2.01, Missoula County, Montana",1391,445,1123,411,1123,411,1039,419,84,69,0,10,268,119
1500000US300630002013,300630002013,"Block Group 3, Census Tract 2.01, Missoula County, Montana",1118,264,899,264,899,264,899,264,0,10,0,10,219,100
1500000US300630002014,300630002014,"Block Group 4, Census Tract 2.01, Missoula County, Montana",1492,396,1323,383,1323,383,1136,360,187,135,0,10,169,113
1500000US300630002015,300630002015,"Block Group 5, Census Tract 2.01, Missoula County, Montana",1668,473,1377,444,1377,444,1262,433,115,67,0,10,291,140
