GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1500000US300630001001,300630001001,"Block Group 1, Census Tract 1, Missoula County, Montana",1178,140
1500000US300630001002,300630001002,"Block Group 2, Census Tract 1, Missoula County, Montana",664,106
1500000US300630001003,300630001003,"Block Group 3, Census Tract 1, Missoula County, Montana",446,77
1500000US300630001004,300630001004,"Block Group 4, Census Tract 1, Missoula County, Montana",476,131
1500000US300630002011,300630002011,"Block Group 1, Census Tract 2.01, Missoula County, Montana",964,172
1500000US300630002012,300630002012,"Block Group 2, Census Tract 2.01, Missoula County, Montana",799,176
1500000US300630002013,300630002013,"Block Group 3, Census Tract 2.01, Missoula County, Montana",718,174
1500000US300630002014,300630002014,"Block Group 4, Census Tract 2.01, Missoula County, Montana",962,234
1500000US300630002015,300630002015,"Block Group 5, Census Tract 2.01, Missoula County, Montana",824,165
1500000US300630002021,300630002021,"Block Group 1, Census Tract 2.02, Missoula County, Montana",2388,268
1500000US300630002022,300630002022,"Block Group 2, Census Tract 2.02, Missoula County, Montana",388,105
1500000US300630002023,300630002023,"Block Group 3, Census Tract 2.02, Missoula County, Montana",1710,256
1500000US300630002024,300630002024,"Block Group 4, Census Tract 2.02, Missoula County, Montana",480,139
1500000US300630003001,300630003001,"Block Group 1, Census Tract 3, Missoula County, Montana",695,105
1500000US300630003002,300630003002,"Block Group 2, Census Tract 3, Missoula County, Montana",753,107
1500000US300630004001,300630004001,"Block Group 1, Census Tract 4, Missoula County, Montana",540,84
1500000US300630004002,300630004002,"Block Group 2, Census Tract 4, Missoula County, Montana",306,67
1500000US300630004003,300630004003,"Block Group 3, Census Tract 4, Missoula County, Montana",341,76
1500000US300630005001,300630005001,"Block Group 1, Census Tract 5, Missoula County, Montana",713,133
1500000US300630005002,300630005002,"Block Group 2, Census Tract 5, Missoula County, Montana",283,100
1500000US300630005003,300630005003,"Block Group 3, Census Tract 5, Missoula County, Montana",568,109
1500000US300630005004,300630005004,"Block Group 4, Census Tract 5, Missoula County, Montana",876,169
1500000US300630007001,300630007001,"Block Group 1, Census Tract 7, Missoula County, Montana",426,89
1500000US300630007002,300630007002,"Block Group 2, Census Tract 7, Missoula County, Montana",524,112
1500000US300630007003,300630007003,"Block Group 3, Census Tract 7, Missoula County, Montana",560,94
1500000US300630008001,300630008001,"Block Group 1, Census Tract 8, Missoula County, Montana",973,183
1500000US300630008002,300630008002,"Block Group 2, Census Tract 8, Missoula County, Montana",519,98
1500000US300630008003,300630008003,"Block Group 3, Census Tract 8, Missoula County, Montana",811,151
1500000US300630008004,300630008004,"Block Group 4, Census Tract 8, Missoula County, Montana",716,123
1500000US300630009011,300630009011,"Block Group 1, Census Tract 9.01, Missoula County, Montana",402,118
1500000US300630009012,300630009012,"Block Group 2, Census Tract 9.01, Missoula County, Montana",529,91
1500000US300630009013,300630009013,"Block Group 3, Census Tract 9.01, Missoula County, Montana",593,116
1500000US300630009014,300630009014,"Block Group 4, Census Tract 9.01, Missoula County, Montana",584,131
1500000US300630009015,300630009015,"Block Group 5, Census Tract 9.01, Missoula County, Montana",353,109
1500000US300630009021,300630009021,"Block Group 1, Census Tract 9.02, Missoula County, Montana",1062,51
1500000US300630010001,300630010001,"Block Group 1, Census Tract 10, Missoula County, Montana",816,122
1500000US300630010002,300630010002,"Block Group 2, Census Tract 10, Missoula County, Montana",574,141
1500000US300630010003,300630010003,"Block Group 3, Census Tract 10, Missoula County, Montana",647,149
1500000US300630010004,300630010004,"Block Group 4, Census Tract 10, Missoula County, Montana",513,127
1500000US300630011001,300630011001,"Block Group 1, Census Tract 11, Missoula County, Montana",484,81
1500000US300630011002,300630011002,"Block Group 2, Census Tract 11, Missoula County, Montana",588,92
