GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Built 2014 or later,Margin of Error; Total: - Built 2014 or later,Estimate; Total: - Built 2010 to 2013,Margin of Error; Total: - Built 2010 to 2013,Estimate; Total: - Built 2000 to 2009,Margin of Error; Total: - Built 2000 to 2009,Estimate; Total: - Built 1990 to 1999,Margin of Error; Total: - Built 1990 to 1999,Estimate; Total: - Built 1980 to 1989,Margin of Error; Total: - Built 1980 to 1989,Estimate; Total: - Built 1970 to 1979,Margin of Error; Total: - Built 1970 to 1979,Estimate; Total: - Built 1960 to 1969,Margin of Error; Total: - Built 1960 to 1969,Estimate; Total: - Built 1950 to 1959,Margin of Error; Total: - Built 1950 to 1959,Estimate; Total: - Built 1940 to 1949,Margin of Error; Total: - Built 1940 to 1949,Estimate; Total: - Built 1939 or earlier,Margin of Error; Total: - Built 1939 or earlier
1500000US300630001001,300630001001,"Block Group 1, Census Tract 1, Missoula County, Montana",1178,140,17,26,27,23,105,53,293,109,105,75,376,131,54,42,104,86,17,27,80,48
1500000US300630001002,300630001002,"Block Group 2, Census Tract 1, Missoula County, Montana",664,106,0,10,0,10,30,33,42,40,129,109,180,77,185,82,98,63,0,10,0,10
1500000US300630001003,300630001003,"Block Group 3, Census Tract 1, Missoula County, Montana",446,77,0,10,0,10,59,48,73,54,16,25,60,51,105,52,87,48,0,10,46,73
1500000US300630001004,300630001004,"Block Group 4, Census Tract 1, Missoula County, Montana",476,131,0,10,0,10,0,10,66,103,0,10,90,86,100,85,77,56,40,38,103,53
1500000US300630002011,300630002011,"Block Group 1, Census Tract 2.01, Missoula County, Montana",964,172,0,10,47,61,492,145,240,142,67,62,60,56,28,42,0,10,0,10,30,48
1500000US300630002012,300630002012,"Block Group 2, Census Tract 2.01, Missoula County, Montana",799,176,0,10,42,69,185,112,42,39,65,75,210,126,152,109,23,36,14,24,66,43
1500000US300630002013,300630002013,"Block Group 3, Census Tract 2.01, Missoula County, Montana",718,174,0,10,0,10,154,83,39,47,0,10,51,51,84,73,0,10,80,68,310,172
1500000US300630002014,300630002014,"Block Group 4, Census Tract 2.01, Missoula County, Montana",962,234,0,10,0,10,399,194,55,91,13,20,28,25,133,92,62,51,22,27,250,146
1500000US300630002015,300630002015,"Block Group 5, Census Tract 2.01, Missoula County, Montana",824,165,0,10,0,10,115,74,138,97,61,79,140,85,39,45,32,38,26,31,273,147
1500000US300630002021,300630002021,"Block Group 1, Census Tract 2.02, Missoula County, Montana",2388,268,13,21,292,131,954,268,705,191,195,125,173,94,0,14,56,61,0,14,0,14
1500000US300630002022,300630002022,"Block Group 2, Census Tract 2.02, Missoula County, Montana",388,105,0,10,51,58,0,10,92,55,117,108,68,65,0,10,42,32,0,10,18,29
1500000US300630002023,300630002023,"Block Group 3, Census Tract 2.02, Missoula County, Montana",1710,256,0,10,151,72,687,220,372,131,259,142,93,66,2,4,3,5,33,54,110,156
1500000US300630002024,300630002024,"Block Group 4, Census Tract 2.02, Missoula County, Montana",480,139,0,10,0,10,31,50,216,139,98,74,95,67,40,63,0,10,0,10,0,10
1500000US300630003001,300630003001,"Block Group 1, Census Tract 3, Missoula County, Montana",695,105,0,10,0,10,0,10,0,10,51,39,172,73,54,36,48,54,63,56,307,103
1500000US300630003002,300630003002,"Block Group 2, Census Tract 3, Missoula County, Montana",753,107,0,10,0,10,9,14,0,10,123,57,247,115,63,41,21,23,31,29,259,90
1500000US300630004001,300630004001,"Block Group 1, Census Tract 4, Missoula County, Montana",540,84,0,10,7,12,47,46,26,33,37,43,109,65,91,53,126,66,9,15,88,55
1500000US300630004002,300630004002,"Block Group 2, Census Tract 4, Missoula County, Montana",306,67,0,10,12,19,75,34,50,31,43,28,97,41,26,26,0,10,0,10,3,5
1500000US300630004003,300630004003,"Block Group 3, Census Tract 4, Missoula County, Montana",341,76,0,10,0,10,91,45,30,22,89,50,110,59,10,16,11,16,0,10,0,10
1500000US300630005001,300630005001,"Block Group 1, Census Tract 5, Missoula County, Montana",713,133,0,10,0,10,0,10,48,51,20,22,79,51,79,84,55,67,28,32,404,113
1500000US300630005002,300630005002,"Block Group 2, Census Tract 5, Missoula County, Montana",283,100,0,10,0,10,0,10,0,10,0,10,0,10,51,52,13,22,23,34,196,92
1500000US300630005003,300630005003,"Block Group 3, Census Tract 5, Missoula County, Montana",568,109,0,10,0,10,0,10,0,10,0,10,112,71,170,110,92,56,94,59,100,62
1500000US300630005004,300630005004,"Block Group 4, Census Tract 5, Missoula County, Montana",876,169,0,10,0,10,180,86,255,142,17,27,127,120,13,21,149,92,69,46,66,67
1500000US300630007001,300630007001,"Block Group 1, Census Tract 7, Missoula County, Montana",426,89,8,12,22,25,12,15,70,56,10,15,11,17,0,10,10,14,16,18,267,98
1500000US300630007002,300630007002,"Block Group 2, Census Tract 7, Missoula County, Montana",524,112,0,10,0,10,8,13,0,10,0,10,44,40,42,49,50,42,9,13,371,103
1500000US300630007003,300630007003,"Block Group 3, Census Tract 7, Missoula County, Montana",560,94,16,20,13,20,69,58,58,32,37,34,31,36,31,26,124,85,35,29,146,66
1500000US300630008001,300630008001,"Block Group 1, Census Tract 8, Missoula County, Montana",973,183,21,33,0,10,315,172,85,63,169,102,207,100,61,57,56,52,0,10,59,49
1500000US300630008002,300630008002,"Block Group 2, Census Tract 8, Missoula County, Montana",519,98,0,10,32,38,135,67,117,77,65,56,67,50,75,68,0,10,12,20,16,26
1500000US300630008003,300630008003,"Block Group 3, Census Tract 8, Missoula County, Montana",811,151,19,31,0,10,162,85,91,108,111,108,140,77,137,80,39,38,51,63,61,91
1500000US300630008004,300630008004,"Block Group 4, Census Tract 8, Missoula County, Montana",716,123,0,10,15,24,148,103,35,40,15,24,119,81,61,56,140,66,106,61,77,47
1500000US300630009011,300630009011,"Block Group 1, Census Tract 9.01, Missoula County, Montana",402,118,0,10,0,10,79,86,17,27,0,10,90,79,137,81,23,28,46,47,10,16
1500000US300630009012,300630009012,"Block Group 2, Census Tract 9.01, Missoula County, Montana",529,91,0,10,56,76,109,70,54,42,42,32,97,61,61,51,65,45,0,10,45,70
