GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $49,999","Margin of Error; Total: - $40,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $69,999","Margin of Error; Total: - $60,000 to $69,999","Estimate; Total: - $70,000 to $79,999","Margin of Error; Total: - $70,000 to $79,999","Estimate; Total: - $80,000 to $89,999","Margin of Error; Total: - $80,000 to $89,999","Estimate; Total: - $90,000 to $99,999","Margin of Error; Total: - $90,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $174,999","Margin of Error; Total: - $150,000 to $174,999","Estimate; Total: - $175,000 to $199,999","Margin of Error; Total: - $175,000 to $199,999","Estimate; Total: - $200,000 to $249,999","Margin of Error; Total: - $200,000 to $249,999","Estimate; Total: - $250,000 to $299,999","Margin of Error; Total: - $250,000 to $299,999","Estimate; Total: - $300,000 to $399,999","Margin of Error; Total: - $300,000 to $399,999","Estimate; Total: - $400,000 to $499,999","Margin of Error; Total: - $400,000 to $499,999","Estimate; Total: - $500,000 to $749,999","Margin of Error; Total: - $500,000 to $749,999","Estimate; Total: - $750,000 to $999,999","Margin of Error; Total: - $750,000 to $999,999","Estimate; Total: - $1,000,000 to $1,499,999","Margin of Error; Total: - $1,000,000 to $1,499,999","Estimate; Total: - $1,500,000 to $1,999,999","Margin of Error; Total: - $1,500,000 to $1,999,999","Estimate; Total: - $2,000,000 or more","Margin of Error; Total: - $2,000,000 or more"
1500000US300630001001,300630001001,"Block Group 1, Census Tract 1, Missoula County, Montana",633,138,14,22,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,30,35,0,10,0,10,18,28,181,120,235,107,107,61,33,37,15,24,0,10,0,10,0,10
1500000US300630001002,300630001002,"Block Group 2, Census Tract 1, Missoula County, Montana",419,82,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,16,25,0,10,0,10,0,10,0,10,0,10,0,10,0,10,92,61,165,49,69,57,42,40,0,10,21,32,0,10,14,23
1500000US300630001003,300630001003,"Block Group 3, Census Tract 1, Missoula County, Montana",337,72,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,16,24,0,10,0,10,0,10,58,46,69,43,106,58,30,35,30,34,28,33,0,10,0,10,0,10
1500000US300630001004,300630001004,"Block Group 4, Census Tract 1, Missoula County, Montana",179,68,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,58,41,17,27,69,43,15,23,0,10,0,10,0,10,0,10,20,34
1500000US300630002011,300630002011,"Block Group 1, Census Tract 2.01, Missoula County, Montana",151,71,37,42,0,10,60,54,0,10,0,10,45,44,9,15,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1500000US300630002012,300630002012,"Block Group 2, Census Tract 2.01, Missoula County, Montana",188,82,47,56,15,23,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,13,21,0,10,61,52,0,10,37,38,15,23,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1500000US300630002013,300630002013,"Block Group 3, Census Tract 2.01, Missoula County, Montana",314,138,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,14,21,0,10,0,10,59,53,152,133,14,22,15,24,16,25,44,46,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1500000US300630002014,300630002014,"Block Group 4, Census Tract 2.01, Missoula County, Montana",361,112,84,60,0,10,14,23,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,22,28,0,10,52,67,13,23,35,48,40,38,92,62,9,17,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1500000US300630002015,300630002015,"Block Group 5, Census Tract 2.01, Missoula County, Montana",183,84,0,10,0,10,0,10,0,10,17,26,0,10,0,10,0,10,0,10,0,10,0,10,0,10,25,40,0,10,15,22,32,50,58,65,13,23,11,16,0,10,12,18,0,10,0,10,0,10,0,10,0,10
1500000US300630002021,300630002021,"Block Group 1, Census Tract 2.02, Missoula County, Montana",1356,272,52,46,58,73,33,53,206,141,40,45,30,48,22,36,97,70,42,36,21,32,0,14,25,40,21,33,0,14,0,14,0,14,71,61,261,136,247,133,22,37,22,35,51,77,0,14,0,14,0,14,35,59
1500000US300630002022,300630002022,"Block Group 2, Census Tract 2.02, Missoula County, Montana",335,100,22,35,0,10,0,10,0,10,20,33,0,10,0,10,0,10,30,47,0,10,0,10,0,10,0,10,18,30,0,10,0,10,0,10,23,41,96,101,106,71,20,33,0,10,0,10,0,10,0,10,0,10
1500000US300630002023,300630002023,"Block Group 3, Census Tract 2.02, Missoula County, Montana",1492,263,3,6,0,10,5,9,7,12,0,10,0,10,0,10,2,4,2,4,0,10,3,5,2,4,19,31,24,35,151,139,258,171,118,70,255,159,44,43,237,142,219,124,116,136,21,31,2,3,2,3,2,4
1500000US300630002024,300630002024,"Block Group 4, Census Tract 2.02, Missoula County, Montana",480,139,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,16,27,0,10,0,10,0,10,0,10,0,10,95,109,65,64,66,62,109,79,0,10,105,76,24,39,0,10,0,10,0,10,0,10,0,10
1500000US300630003001,300630003001,"Block Group 1, Census Tract 3, Missoula County, Montana",44,29,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,9,12,0,10,0,10,0,10,0,10,0,10,7,10,20,23,8,15,0,10,0,10,0,10,0,10
1500000US300630003002,300630003002,"Block Group 2, Census Tract 3, Missoula County, Montana",77,41,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,7,11,12,20,0,10,0,10,0,10,0,10,0,10,28,27,10,15,11,17,0,10,0,10,0,10,9,14,0,10,0,10
1500000US300630004001,300630004001,"Block Group 1, Census Tract 4, Missoula County, Montana",312,81,26,40,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,8,13,0,10,0,10,33,35,20,23,41,34,109,61,69,42,6,11,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1500000US300630004002,300630004002,"Block Group 2, Census Tract 4, Missoula County, Montana",223,62,8,12,8,12,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,10,17,0,10,19,18,3,5,6,10,20,24,54,33,25,20,30,20,0,10,20,24,20,22,0,10,0,10,0,10
1500000US300630004003,300630004003,"Block Group 3, Census Tract 4, Missoula County, Montana",216,66,0,10,0,10,0,10,0,10,10,16,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,27,24,0,10,7,12,6,11,49,27,11,17,0,10,5,9,67,54,14,21,20,31,0,10,0,10
1500000US300630005001,300630005001,"Block Group 1, Census Tract 5, Missoula County, Montana",185,73,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,12,20,10,17,13,22,31,38,38,39,12,19,12,20,24,30,33,32,0,10,0,10,0,10
1500000US300630005002,300630005002,"Block Group 2, Census Tract 5, Missoula County, Montana",180,70,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,13,22,13,21,52,51,29,32,23,34,50,70,0,10,0,10,0,10,0,10
1500000US300630005003,300630005003,"Block Group 3, Census Tract 5, Missoula County, Montana",209,65,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,25,31,143,60,30,34,11,18,0,10,0,10,0,10,0,10
1500000US300630005004,300630005004,"Block Group 4, Census Tract 5, Missoula County, Montana",212,74,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,14,22,0,10,28,30,14,27,13,20,12,19,79,50,0,10,52,65,0,10,0,10,0,10,0,10
1500000US300630007001,300630007001,"Block Group 1, Census Tract 7, Missoula County, Montana",32,24,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,9,14,0,10,15,17,0,10,8,13,0,10,0,10,0,10,0,10,0,10
1500000US300630007002,300630007002,"Block Group 2, Census Tract 7, Missoula County, Montana",178,59,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,10,16,0,10,0,10,6,11,11,16,0,10,20,26,60,48,24,23,16,20,10,16,21,23,0,10,0,10,0,10,0,10
